Time	[STAT5]	[STAT5p]	[STAT5p2c]	[data1]	[data2]	[frac_v1]	[frac_v2]	[frac_v4]	[STAT5p2n]	[frac_v3]	Values[r4]	Values[D]	Values[smooth_D]	Values[smooth_D_slope]	Values[smooth_D_offset]
0.084	0.0861309	1.00191	0.0481526	1.09822	1.18435	0.0723789	0.841941	0.00475095	0.00282682	0.0809287	1	1	0.5	2	0	1.084	6	1.35	1.19	1.084	1	1
0.085	0.0833738	1.00266	0.04906	1.10078	1.18415	0.070062	0.84257	0.00491434	0.00292403	0.0824537	1	1	0.5	2	0	1.085	6	1.35	1.19	1.085	1	1
0.086	0.0807024	1.00332	0.0499669	1.10325	1.18395	0.0678172	0.843124	0.00508077	0.00302306	0.083978	1	1	0.5	2	0	1.086	6	1.35	1.19	1.086	1	1
0.087	0.0781143	1.00389	0.0508733	1.10564	1.18375	0.0656423	0.843606	0.00525025	0.0031239	0.0855014	1	1	0.5	2	0	1.087	6	1.35	1.19	1.087	1	1
0.088	0.075607	1.00438	0.051779	1.10794	1.18355	0.0635353	0.844018	0.00542277	0.00322655	0.0870235	1	1	0.5	2	0	1.088	6	1.35	1.19	1.088	1	1
0.089	0.0731779	1.00479	0.0526837	1.11016	1.18334	0.061494	0.844364	0.00559834	0.00333101	0.0885441	1	1	0.5	2	0	1.089	6	1.35	1.19	1.089	1	1
0.09	0.0708248	1.00513	0.0535874	1.1123	1.18313	0.0595166	0.844644	0.00577695	0.00343728	0.0900629	1	1	0.5	2	0	1.09	6	1.35	1.19	1.09	1	1
0.091	0.0685452	1.00538	0.0544899	1.11436	1.18291	0.057601	0.844861	0.00595859	0.00354536	0.0915796	1	1	0.5	2	0	1.091	6	1.35	1.19	1.091	1	1
0.092	0.0663371	1.00557	0.055391	1.11635	1.18269	0.0557454	0.845017	0.00614326	0.00365524	0.0930941	1	1	0.5	2	0	1.092	6	1.35	1.19	1.092	1	1
0.093	0.0641981	1.00569	0.0562906	1.11827	1.18247	0.053948	0.845115	0.00633096	0.00376692	0.0946061	1	1	0.5	2	0	1.093	6	1.35	1.19	1.093	1	1
0.094	0.0621262	1.00574	0.0571886	1.12011	1.18224	0.0522069	0.845156	0.00652169	0.0038804	0.0961153	1	1	0.5	2	0	1.094	6	1.35	1.19	1.094	1	1
0.095	0.0601195	1.00572	0.0580848	1.12189	1.18201	0.0505206	0.845142	0.00671542	0.00399568	0.0976216	1	1	0.5	2	0	1.095	6	1.35	1.19	1.095	1	1
0.096	0.0581757	1.00564	0.0589792	1.1236	1.18177	0.0488872	0.845076	0.00691217	0.00411274	0.0991246	1	1	0.5	2	0	1.096	6	1.35	1.19	1.096	1	1
0.097	0.0562932	1.0055	0.0598715	1.12524	1.18154	0.0473052	0.844959	0.00711192	0.00423159	0.100624	1	1	0.5	2	0	1.097	6	1.35	1.19	1.097	1	1
0.098	0.0544699	1.0053	0.0607617	1.12683	1.1813	0.045773	0.844792	0.00731467	0.00435223	0.102121	1	1	0.5	2	0	1.098	6	1.35	1.19	1.098	1	1
0.099	0.0527041	1.00505	0.0616497	1.12835	1.18105	0.0442892	0.844578	0.0075204	0.00447464	0.103613	1	1	0.5	2	0	1.099	6	1.35	1.19	1.099	1	1
0.1	0.050994	1.00474	0.0625353	1.12981	1.1808	0.0428521	0.844317	0.00772911	0.00459882	0.105101	1	1	0.5	2	0	1.1	6	1.35	1.19	1.1	1	1
0.101	0.049338	1.00438	0.0634185	1.13121	1.18055	0.0414605	0.844013	0.0079408	0.00472478	0.106586	1	1	0.5	2	0	1.101	6	1.35	1.19	1.101	1	1
0.102	0.0477342	1.00396	0.0642991	1.13256	1.1803	0.0401128	0.843666	0.00815545	0.0048525	0.108066	1	1	0.5	2	0	1.102	6	1.35	1.19	1.102	1	1
0.103	0.0461812	1.0035	0.0651772	1.13385	1.18004	0.0388078	0.843278	0.00837306	0.00498197	0.109541	1	1	0.5	2	0	1.103	6	1.35	1.19	1.103	1	1
0.104	0.0446774	1.00299	0.0660524	1.1351	1.17977	0.0375441	0.84285	0.00859362	0.0051132	0.111012	1	1	0.5	2	0	1.104	6	1.35	1.19	1.104	1	1
0.105	0.0432213	1.00244	0.0669249	1.13629	1.17951	0.0363204	0.842384	0.00881711	0.00524618	0.112479	1	1	0.5	2	0	1.105	6	1.35	1.19	1.105	1	1
0.106	0.0418114	1.00184	0.0677945	1.13743	1.17924	0.0351356	0.841881	0.00904353	0.0053809	0.11394	1	1	0.5	2	0	1.106	6	1.35	1.19	1.106	1	1
0.107	0.0404462	1.0012	0.0686611	1.13852	1.17897	0.0339884	0.841342	0.00927287	0.00551736	0.115397	1	1	0.5	2	0	1.107	6	1.35	1.19	1.107	1	1
0.108	0.0391245	1.00052	0.0695246	1.13956	1.17869	0.0328777	0.840769	0.00950511	0.00565554	0.116848	1	1	0.5	2	0	1.108	6	1.35	1.19	1.108	1	1
0.109	0.0378448	0.999794	0.070385	1.14056	1.17841	0.0318024	0.840163	0.00974026	0.00579545	0.118294	1	1	0.5	2	0	1.109	6	1.35	1.19	1.109	1	1
0.11	0.0366059	0.999036	0.0712422	1.14152	1.17813	0.0307612	0.839526	0.00997829	0.00593708	0.119735	1	1	0.5	2	0	1.11	6	1.35	1.19	1.11	1	1
0.111	0.0354064	0.99824	0.0720961	1.14243	1.17784	0.0297533	0.838858	0.0102192	0.00608042	0.12117	1	1	0.5	2	0	1.111	6	1.35	1.19	1.111	1	1
0.112	0.0342453	0.99741	0.0729468	1.1433	1.17755	0.0287775	0.83816	0.010463	0.00622546	0.1226	1	1	0.5	2	0	1.112	6	1.35	1.19	1.112	1	1
0.113	0.0331212	0.996546	0.073794	1.14413	1.17726	0.0278329	0.837434	0.0107096	0.0063722	0.124024	1	1	0.5	2	0	1.113	6	1.35	1.19	1.113	1	1
0.114	0.0320331	0.99565	0.0746378	1.14493	1.17696	0.0269185	0.836681	0.0109591	0.00652064	0.125442	1	1	0.5	2	0	1.114	6	1.35	1.19	1.114	1	1
0.115	0.0309797	0.994723	0.0754781	1.14568	1.17666	0.0260334	0.835901	0.0112113	0.00667075	0.126854	1	1	0.5	2	0	1.115	6	1.35	1.19	1.115	1	1
0.116	0.0299602	0.993765	0.0763148	1.14639	1.17635	0.0251766	0.835097	0.0114665	0.00682255	0.12826	1	1	0.5	2	0	1.116	6	1.35	1.19	1.116	1	1
0.117	0.0289733	0.992779	0.0771479	1.14707	1.17605	0.0243473	0.834268	0.0117244	0.00697601	0.12966	1	1	0.5	2	0	1.117	6	1.35	1.19	1.117	1	1
0.118	0.028018	0.991765	0.0779774	1.14772	1.17574	0.0235446	0.833416	0.0119851	0.00713114	0.131054	1	1	0.5	2	0	1.118	6	1.35	1.19	1.118	1	1
0.119	0.0270935	0.990724	0.0788032	1.14833	1.17542	0.0227676	0.832541	0.0122486	0.00728792	0.132442	1	1	0.5	2	0	1.119	6	1.35	1.19	1.119	1	1
0.12	0.0261987	0.989658	0.0796252	1.14891	1.17511	0.0220157	0.831645	0.0125149	0.00744635	0.133824	1	1	0.5	2	0	1.12	6	1.35	1.19	1.12	1	1
0.121	0.0253326	0.988567	0.0804435	1.14945	1.17479	0.0212879	0.830729	0.0127839	0.00760641	0.135199	1	1	0.5	2	0	1.121	6	1.35	1.19	1.121	1	1
0.122	0.0244945	0.987453	0.081258	1.14997	1.17446	0.0205836	0.829793	0.0130557	0.00776812	0.136568	1	1	0.5	2	0	1.122	6	1.35	1.19	1.122	1	1
0.123	0.0236834	0.986317	0.0820686	1.15045	1.17414	0.019902	0.828837	0.0133302	0.00793144	0.13793	1	1	0.5	2	0	1.123	6	1.35	1.19	1.123	1	1
0.124	0.0228984	0.985158	0.0828753	1.15091	1.17381	0.0192424	0.827864	0.0136074	0.00809639	0.139286	1	1	0.5	2	0	1.124	6	1.35	1.19	1.124	1	1
0.125	0.0221388	0.983979	0.0836782	1.15134	1.17347	0.0186041	0.826873	0.0138873	0.00826294	0.140636	1	1	0.5	2	0	1.125	6	1.35	1.19	1.125	1	1
0.126	0.0214038	0.98278	0.0844771	1.15173	1.17314	0.0179864	0.825865	0.0141699	0.0084311	0.141978	1	1	0.5	2	0	1.126	6	1.35	1.19	1.126	1	1
0.127	0.0206925	0.981562	0.085272	1.15211	1.1728	0.0173887	0.824842	0.0144552	0.00860085	0.143314	1	1	0.5	2	0	1.127	6	1.35	1.19	1.127	1	1
0.128	0.0200043	0.980326	0.0860629	1.15245	1.17246	0.0168104	0.823803	0.0147432	0.00877218	0.144644	1	1	0.5	2	0	1.128	6	1.35	1.19	1.128	1	1
0.129	0.0193384	0.979072	0.0868498	1.15277	1.17211	0.0162508	0.822749	0.0150338	0.0089451	0.145966	1	1	0.5	2	0	1.129	6	1.35	1.19	1.129	1	1
0.13	0.0186941	0.977801	0.0876326	1.15307	1.17176	0.0157093	0.821682	0.015327	0.00911958	0.147282	1	1	0.5	2	0	1.13	6	1.35	1.19	1.13	1	1
0.131	0.0180707	0.976515	0.0884114	1.15334	1.17141	0.0151855	0.820601	0.0156229	0.00929563	0.148591	1	1	0.5	2	0	1.131	6	1.35	1.19	1.131	1	1
0.132	0.0174676	0.975214	0.0891862	1.15359	1.17105	0.0146787	0.819507	0.0159214	0.00947322	0.149893	1	1	0.5	2	0	1.132	6	1.35	1.19	1.132	1	1
0.133	0.0168841	0.973898	0.0899568	1.15381	1.1707	0.0141883	0.818401	0.0162225	0.00965237	0.151188	1	1	0.5	2	0	1.133	6	1.35	1.19	1.133	1	1
0.134	0.0163196	0.972568	0.0907233	1.15401	1.17033	0.013714	0.817284	0.0165261	0.00983305	0.152476	1	1	0.5	2	0	1.134	6	1.35	1.19	1.134	1	1
0.135	0.0157735	0.971225	0.0914857	1.1542	1.16997	0.0132551	0.816155	0.0168324	0.0100153	0.153757	1	1	0.5	2	0	1.135	6	1.35	1.19	1.135	1	1
0.136	0.0152453	0.969869	0.0922439	1.15436	1.1696	0.0128111	0.815016	0.0171412	0.010199	0.155032	1	1	0.5	2	0	1.136	6	1.35	1.19	1.136	1	1
0.137	0.0147342	0.968501	0.092998	1.1545	1.16923	0.0123817	0.813867	0.0174525	0.0103842	0.156299	1	1	0.5	2	0	1.137	6	1.35	1.19	1.137	1	1
0.138	0.0142399	0.967122	0.0937479	1.15462	1.16886	0.0119663	0.812708	0.0177663	0.010571	0.157559	1	1	0.5	2	0	1.138	6	1.35	1.19	1.138	1	1
0.139	0.0137618	0.965733	0.0944936	1.15472	1.16848	0.0115645	0.81154	0.0180827	0.0107592	0.158813	1	1	0.5	2	0	1.139	6	1.35	1.19	1.139	1	1
0.14	0.0132993	0.964332	0.0952352	1.1548	1.1681	0.0111759	0.810363	0.0184016	0.0109489	0.160059	1	1	0.5	2	0	1.14	6	1.35	1.19	1.14	1	1
0.141	0.0128519	0.962923	0.0959726	1.15487	1.16772	0.0107999	0.809179	0.018723	0.0111402	0.161298	1	1	0.5	2	0	1.141	6	1.35	1.19	1.141	1	1
0.142	0.0124193	0.961504	0.0967057	1.15492	1.16733	0.0104364	0.807986	0.0190468	0.0113328	0.162531	1	1	0.5	2	0	1.142	6	1.35	1.19	1.142	1	1
0.143	0.0120008	0.960076	0.0974347	1.15495	1.16695	0.0100847	0.806786	0.0193731	0.011527	0.163756	1	1	0.5	2	0	1.143	6	1.35	1.19	1.143	1	1
0.144	0.0115961	0.95864	0.0981595	1.15496	1.16655	0.00974462	0.80558	0.0197018	0.0117226	0.164974	1	1	0.5	2	0	1.144	6	1.35	1.19	1.144	1	1
0.145	0.0112047	0.957196	0.09888	1.15496	1.16616	0.00941572	0.804366	0.020033	0.0119196	0.166185	1	1	0.5	2	0	1.145	6	1.35	1.19	1.145	1	1
0.146	0.0108262	0.955745	0.0995964	1.15494	1.16576	0.00909764	0.803147	0.0203665	0.0121181	0.167389	1	1	0.5	2	0	1.146	6	1.35	1.19	1.146	1	1
0.147	0.0104602	0.954287	0.100309	1.1549	1.16536	0.00879005	0.801922	0.0207025	0.012318	0.168586	1	1	0.5	2	0	1.147	6	1.35	1.19	1.147	1	1
0.148	0.0101062	0.952822	0.101017	1.15486	1.16496	0.0084926	0.800691	0.0210409	0.0125193	0.169776	1	1	0.5	2	0	1.148	6	1.35	1.19	1.148	1	1
0.149	0.00976392	0.951351	0.10172	1.15479	1.16456	0.00820497	0.799455	0.0213816	0.0127221	0.170958	1	1	0.5	2	0	1.149	6	1.35	1.19	1.149	1	1
0.15	0.00943295	0.949875	0.10242	1.15471	1.16415	0.00792685	0.798214	0.0217247	0.0129262	0.172134	1	1	0.5	2	0	1.15	6	1.35	1.19	1.15	1	1
0.151	0.00911292	0.948393	0.103115	1.15462	1.16374	0.00765792	0.796969	0.0220701	0.0131317	0.173303	1	1	0.5	2	0	1.151	6	1.35	1.19	1.151	1	1
0.152	0.00880349	0.946907	0.103806	1.15452	1.16332	0.00739789	0.79572	0.0224179	0.0133387	0.174464	1	1	0.5	2	0	1.152	6	1.35	1.19	1.152	1	1
0.153	0.00850431	0.945416	0.104493	1.1544	1.16291	0.00714648	0.794467	0.022768	0.013547	0.175619	1	1	0.5	2	0	1.153	6	1.35	1.19	1.153	1	1
0.154	0.00821506	0.94392	0.105176	1.15427	1.16249	0.00690341	0.79321	0.0231204	0.0137566	0.176766	1	1	0.5	2	0	1.154	6	1.35	1.19	1.154	1	1
0.155	0.0079354	0.942421	0.105854	1.15413	1.16206	0.0066684	0.79195	0.0234751	0.0139677	0.177907	1	1	0.5	2	0	1.155	6	1.35	1.19	1.155	1	1
0.156	0.00766503	0.940917	0.106529	1.15397	1.16164	0.0064412	0.790687	0.023832	0.01418	0.17904	1	1	0.5	2	0	1.156	6	1.35	1.19	1.156	1	1
0.157	0.00740365	0.939411	0.107199	1.15381	1.16121	0.00622156	0.789421	0.0241912	0.0143938	0.180166	1	1	0.5	2	0	1.157	6	1.35	1.19	1.157	1	1
0.158	0.00715097	0.937901	0.107865	1.15363	1.16078	0.00600922	0.788153	0.0245527	0.0146088	0.181286	1	1	0.5	2	0	1.158	6	1.35	1.19	1.158	1	1
0.159	0.00690671	0.936389	0.108527	1.15344	1.16035	0.00580396	0.786882	0.0249163	0.0148252	0.182398	1	1	0.5	2	0	1.159	6	1.35	1.19	1.159	1	1
0.16	0.00667059	0.934875	0.109184	1.15324	1.15991	0.00560554	0.785609	0.0252822	0.0150429	0.183503	1	1	0.5	2	0	1.16	6	1.35	1.19	1.16	1	1
0.161	0.00644235	0.933358	0.109838	1.15303	1.15948	0.00541374	0.784334	0.0256504	0.015262	0.184602	1	1	0.5	2	0	1.161	6	1.35	1.19	1.161	1	1
0.162	0.00622173	0.931839	0.110487	1.15281	1.15904	0.00522835	0.783058	0.0260207	0.0154823	0.185693	1	1	0.5	2	0	1.162	6	1.35	1.19	1.162	1	1
0.163	0.00600849	0.930318	0.111133	1.15258	1.15859	0.00504915	0.78178	0.0263931	0.0157039	0.186778	1	1	0.5	2	0	1.163	6	1.35	1.19	1.163	1	1
0.164	0.00580238	0.928796	0.111774	1.15234	1.15815	0.00487595	0.780501	0.0267678	0.0159268	0.187855	1	1	0.5	2	0	1.164	6	1.35	1.19	1.164	1	1
0.165	0.00560318	0.927273	0.112411	1.15209	1.1577	0.00470855	0.779221	0.0271445	0.016151	0.188926	1	1	0.5	2	0	1.165	6	1.35	1.19	1.165	1	1
0.166	0.00541065	0.925749	0.113044	1.15184	1.15725	0.00454676	0.77794	0.0275235	0.0163765	0.18999	1	1	0.5	2	0	1.166	6	1.35	1.19	1.166	1	1
0.167	0.00522458	0.924223	0.113673	1.15157	1.15679	0.0043904	0.776658	0.0279045	0.0166032	0.191047	1	1	0.5	2	0	1.167	6	1.35	1.19	1.167	1	1
0.168	0.00504475	0.922698	0.114298	1.15129	1.15634	0.00423929	0.775376	0.0282876	0.0168311	0.192097	1	1	0.5	2	0	1.168	6	1.35	1.19	1.168	1	1
0.169	0.00487097	0.921172	0.114918	1.15101	1.15588	0.00409325	0.774094	0.0286729	0.0170604	0.19314	1	1	0.5	2	0	1.169	6	1.35	1.19	1.169	1	1
0.17	0.00470304	0.919645	0.115535	1.15072	1.15542	0.00395213	0.772811	0.0290602	0.0172908	0.194177	1	1	0.5	2	0	1.17	6	1.35	1.19	1.17	1	1
0.171	0.00454076	0.918119	0.116148	1.15041	1.15495	0.00381576	0.771528	0.0294496	0.0175225	0.195206	1	1	0.5	2	0	1.171	6	1.35	1.19	1.171	1	1
0.172	0.00438394	0.916593	0.116756	1.15011	1.15449	0.00368399	0.770246	0.029841	0.0177554	0.196229	1	1	0.5	2	0	1.172	6	1.35	1.19	1.172	1	1
0.173	0.00423242	0.915067	0.117361	1.14979	1.15402	0.00355665	0.768963	0.0302345	0.0179895	0.197245	1	1	0.5	2	0	1.173	6	1.35	1.19	1.173	1	1
0.174	0.00408601	0.913541	0.117962	1.14946	1.15355	0.00343362	0.767682	0.03063	0.0182248	0.198255	1	1	0.5	2	0	1.174	6	1.35	1.19	1.174	1	1
0.175	0.00394455	0.912016	0.118558	1.14913	1.15308	0.00331474	0.7664	0.0310275	0.0184614	0.199258	1	1	0.5	2	0	1.175	6	1.35	1.19	1.175	1	1
0.176	0.00380787	0.910492	0.119151	1.14879	1.1526	0.00319989	0.765119	0.031427	0.0186991	0.200254	1	1	0.5	2	0	1.176	6	1.35	1.19	1.176	1	1
0.177	0.00367581	0.908969	0.11974	1.14845	1.15212	0.00308892	0.763839	0.0318285	0.018938	0.201243	1	1	0.5	2	0	1.177	6	1.35	1.19	1.177	1	1
0.178	0.00354823	0.907447	0.120324	1.1481	1.15164	0.00298171	0.76256	0.032232	0.019178	0.202226	1	1	0.5	2	0	1.178	6	1.35	1.19	1.178	1	1
0.179	0.00342497	0.905926	0.120905	1.14774	1.15116	0.00287813	0.761282	0.0326374	0.0194193	0.203202	1	1	0.5	2	0	1.179	6	1.35	1.19	1.179	1	1
0.18	0.0033059	0.904406	0.121482	1.14737	1.15068	0.00277807	0.760005	0.0330448	0.0196617	0.204172	1	1	0.5	2	0	1.18	6	1.35	1.19	1.18	1	1
0.181	0.00319087	0.902888	0.122055	1.147	1.15019	0.0026814	0.75873	0.0334541	0.0199052	0.205135	1	1	0.5	2	0	1.181	6	1.35	1.19	1.181	1	1
0.182	0.00307975	0.901372	0.122624	1.14662	1.1497	0.00258803	0.757455	0.0338653	0.0201499	0.206091	1	1	0.5	2	0	1.182	6	1.35	1.19	1.182	1	1
0.183	0.00297241	0.899857	0.12319	1.14624	1.14921	0.00249783	0.756182	0.0342785	0.0203957	0.207042	1	1	0.5	2	0	1.183	6	1.35	1.19	1.183	1	1
0.184	0.00286873	0.898344	0.123751	1.14585	1.14871	0.0024107	0.754911	0.0346935	0.0206426	0.207985	1	1	0.5	2	0	1.184	6	1.35	1.19	1.184	1	1
0.185	0.00276858	0.896833	0.124309	1.14545	1.14822	0.00232654	0.753641	0.0351104	0.0208907	0.208922	1	1	0.5	2	0	1.185	6	1.35	1.19	1.185	1	1
0.186	0.00267184	0.895323	0.124863	1.14505	1.14772	0.00224525	0.752373	0.0355292	0.0211399	0.209853	1	1	0.5	2	0	1.186	6	1.35	1.19	1.186	1	1
0.187	0.00257841	0.893816	0.125413	1.14464	1.14722	0.00216673	0.751106	0.0359498	0.0213901	0.210777	1	1	0.5	2	0	1.187	6	1.35	1.19	1.187	1	1
0.188	0.00248817	0.892311	0.125959	1.14423	1.14672	0.0020909	0.749842	0.0363723	0.0216415	0.211695	1	1	0.5	2	0	1.188	6	1.35	1.19	1.188	1	1
0.189	0.00240102	0.890809	0.126501	1.14381	1.14621	0.00201766	0.748579	0.0367966	0.021894	0.212607	1	1	0.5	2	0	1.189	6	1.35	1.19	1.189	1	1
0.19	0.00231685	0.889309	0.12704	1.14339	1.1457	0.00194693	0.747318	0.0372227	0.0221475	0.213512	1	1	0.5	2	0	1.19	6	1.35	1.19	1.19	1	1
0.191	0.00223556	0.887811	0.127575	1.14296	1.1452	0.00187863	0.746059	0.0376506	0.0224021	0.214411	1	1	0.5	2	0	1.191	6	1.35	1.19	1.191	1	1
0.192	0.00215707	0.886315	0.128106	1.14253	1.14468	0.00181266	0.744803	0.0380803	0.0226578	0.215304	1	1	0.5	2	0	1.192	6	1.35	1.19	1.192	1	1
0.193	0.00208126	0.884823	0.128633	1.14209	1.14417	0.00174896	0.743549	0.0385118	0.0229145	0.216191	1	1	0.5	2	0	1.193	6	1.35	1.19	1.193	1	1
0.194	0.00200806	0.883333	0.129157	1.14165	1.14366	0.00168744	0.742297	0.0389451	0.0231723	0.217071	1	1	0.5	2	0	1.194	6	1.35	1.19	1.194	1	1
0.195	0.00193737	0.881846	0.129677	1.1412	1.14314	0.00162805	0.741047	0.0393801	0.0234312	0.217945	1	1	0.5	2	0	1.195	6	1.35	1.19	1.195	1	1
0.196	0.00186912	0.880361	0.130194	1.14075	1.14262	0.00157069	0.739799	0.0398169	0.023691	0.218813	1	1	0.5	2	0	1.196	6	1.35	1.19	1.196	1	1
0.197	0.00180322	0.87888	0.130707	1.14029	1.1421	0.00151531	0.738554	0.0402554	0.0239519	0.219675	1	1	0.5	2	0	1.197	6	1.35	1.19	1.197	1	1
0.198	0.00173959	0.877401	0.131216	1.13983	1.14157	0.00146184	0.737312	0.0406956	0.0242139	0.220531	1	1	0.5	2	0	1.198	6	1.35	1.19	1.198	1	1
0.199	0.00167815	0.875925	0.131721	1.13937	1.14105	0.00141021	0.736072	0.0411375	0.0244768	0.221381	1	1	0.5	2	0	1.199	6	1.35	1.19	1.199	1	1
0.2	0.00161884	0.874453	0.132223	1.1389	1.14052	0.00136037	0.734834	0.0415811	0.0247407	0.222224	1	1	0.5	2	0	1.2	6	1.35	1.19	1.2	1	1
0.201	0.00156157	0.872983	0.132722	1.13843	1.13999	0.00131225	0.733599	0.0420264	0.0250057	0.223062	1	1	0.5	2	0	1.201	6	1.35	1.19	1.201	1	1
0.202	0.00150629	0.871517	0.133217	1.13795	1.13946	0.00126579	0.732367	0.0424733	0.0252716	0.223894	1	1	0.5	2	0	1.202	6	1.35	1.19	1.202	1	1
0.203	0.00145292	0.870054	0.133708	1.13747	1.13892	0.00122094	0.731138	0.042922	0.0255386	0.22472	1	1	0.5	2	0	1.203	6	1.35	1.19	1.203	1	1
0.204	0.0014014	0.868594	0.134196	1.13699	1.13839	0.00117764	0.729911	0.0433722	0.0258065	0.225539	1	1	0.5	2	0	1.204	6	1.35	1.19	1.204	1	1
0.205	0.00135166	0.867137	0.13468	1.1365	1.13785	0.00113585	0.728687	0.0438241	0.0260753	0.226353	1	1	0.5	2	0	1.205	6	1.35	1.19	1.205	1	1
0.206	0.00130365	0.865684	0.135161	1.13601	1.13731	0.0010955	0.727465	0.0442776	0.0263452	0.227161	1	1	0.5	2	0	1.206	6	1.35	1.19	1.206	1	1
0.207	0.00125731	0.864234	0.135638	1.13551	1.13677	0.00105656	0.726247	0.0447327	0.026616	0.227964	1	1	0.5	2	0	1.207	6	1.35	1.19	1.207	1	1
0.208	0.00121258	0.862787	0.136112	1.13501	1.13622	0.00101897	0.725031	0.0451895	0.0268877	0.22876	1	1	0.5	2	0	1.208	6	1.35	1.19	1.208	1	1
0.209	0.0011694	0.861344	0.136583	1.13451	1.13568	0.000982692	0.723819	0.0456478	0.0271604	0.229551	1	1	0.5	2	0	1.209	6	1.35	1.19	1.209	1	1
0.21	0.00112773	0.859904	0.13705	1.134	1.13513	0.000947674	0.722609	0.0461077	0.0274341	0.230336	1	1	0.5	2	0	1.21	6	1.35	1.19	1.21	1	1
0.211	0.00108751	0.858468	0.137513	1.1335	1.13458	0.000913877	0.721402	0.0465691	0.0277086	0.231115	1	1	0.5	2	0	1.211	6	1.35	1.19	1.211	1	1
0.212	0.0010487	0.857036	0.137974	1.13298	1.13403	0.000881258	0.720198	0.0470321	0.0279841	0.231889	1	1	0.5	2	0	1.212	6	1.35	1.19	1.212	1	1
0.213	0.00101124	0.855607	0.138431	1.13247	1.13348	0.000849778	0.718997	0.0474967	0.0282605	0.232656	1	1	0.5	2	0	1.213	6	1.35	1.19	1.213	1	1
0.214	0.000975084	0.854181	0.138884	1.13195	1.13292	0.000819399	0.717799	0.0479627	0.0285378	0.233419	1	1	0.5	2	0	1.214	6	1.35	1.19	1.214	1	1
0.215	0.000940197	0.852759	0.139334	1.13143	1.13237	0.000790081	0.716604	0.0484303	0.0288161	0.234175	1	1	0.5	2	0	1.215	6	1.35	1.19	1.215	1	1
0.216	0.00090653	0.851341	0.139781	1.1309	1.13181	0.00076179	0.715412	0.0488994	0.0290952	0.234926	1	1	0.5	2	0	1.216	6	1.35	1.19	1.216	1	1
0.217	0.000874043	0.849926	0.140225	1.13038	1.13125	0.00073449	0.714224	0.04937	0.0293752	0.235672	1	1	0.5	2	0	1.217	6	1.35	1.19	1.217	1	1
0.218	0.000842694	0.848515	0.140665	1.12985	1.13069	0.000708146	0.713038	0.0498421	0.0296561	0.236412	1	1	0.5	2	0	1.218	6	1.35	1.19	1.218	1	1
0.219	0.000812446	0.847108	0.141102	1.12931	1.13012	0.000682727	0.711855	0.0503157	0.0299378	0.237146	1	1	0.5	2	0	1.219	6	1.35	1.19	1.219	1	1
0.22	0.000783259	0.845704	0.141536	1.12878	1.12956	0.000658201	0.710676	0.0507907	0.0302205	0.237875	1	1	0.5	2	0	1.22	6	1.35	1.19	1.22	1	1
0.221	0.000755099	0.844304	0.141966	1.12824	1.12899	0.000634537	0.709499	0.0512672	0.030504	0.238599	1	1	0.5	2	0	1.221	6	1.35	1.19	1.221	1	1
0.222	0.000727929	0.842908	0.142394	1.1277	1.12842	0.000611705	0.708326	0.0517451	0.0307883	0.239317	1	1	0.5	2	0	1.222	6	1.35	1.19	1.222	1	1
0.223	0.000701716	0.841516	0.142818	1.12715	1.12785	0.000589677	0.707156	0.0522245	0.0310735	0.24003	1	1	0.5	2	0	1.223	6	1.35	1.19	1.223	1	1
0.224	0.000676427	0.840127	0.143239	1.1266	1.12728	0.000568426	0.705989	0.0527052	0.0313596	0.240737	1	1	0.5	2	0	1.224	6	1.35	1.19	1.224	1	1
0.225	0.000652029	0.838742	0.143656	1.12605	1.12671	0.000547924	0.704825	0.0531874	0.0316465	0.241439	1	1	0.5	2	0	1.225	6	1.35	1.19	1.225	1	1
0.226	0.000628492	0.837361	0.144071	1.1255	1.12613	0.000528145	0.703665	0.053671	0.0319342	0.242136	1	1	0.5	2	0	1.226	6	1.35	1.19	1.226	1	1
0.227	0.000605787	0.835984	0.144483	1.12495	1.12555	0.000509065	0.702507	0.0541559	0.0322228	0.242828	1	1	0.5	2	0	1.227	6	1.35	1.19	1.227	1	1
0.228	0.000583885	0.83461	0.144891	1.12439	1.12498	0.00049066	0.701353	0.0546423	0.0325122	0.243514	1	1	0.5	2	0	1.228	6	1.35	1.19	1.228	1	1
0.229	0.000562758	0.83324	0.145296	1.12383	1.1244	0.000472906	0.700202	0.05513	0.0328023	0.244195	1	1	0.5	2	0	1.229	6	1.35	1.19	1.229	1	1
0.23	0.000542378	0.831874	0.145698	1.12327	1.12381	0.00045578	0.699054	0.0556191	0.0330933	0.244871	1	1	0.5	2	0	1.23	6	1.35	1.19	1.23	1	1
0.231	0.000522722	0.830512	0.146097	1.12271	1.12323	0.000439262	0.69791	0.0561095	0.0333851	0.245542	1	1	0.5	2	0	1.231	6	1.35	1.19	1.231	1	1
0.232	0.000503762	0.829154	0.146493	1.12214	1.12264	0.000423329	0.696768	0.0566012	0.0336777	0.246207	1	1	0.5	2	0	1.232	6	1.35	1.19	1.232	1	1
0.233	0.000485476	0.8278	0.146886	1.12157	1.12206	0.000407963	0.69563	0.0570943	0.0339711	0.246868	1	1	0.5	2	0	1.233	6	1.35	1.19	1.233	1	1
