Time	[STAT5]	[STAT5p]	[STAT5p2c]	[data1]	[data2]	[frac_v1]	[frac_v2]	[frac_v4]	[STAT5p2n]	[frac_v3]	Values[r4]	Values[D]	Values[smooth_D]	Values[smooth_D_slope]	Values[smooth_D_offset]
22.8	0.041992	0.451568	0.102003	0.655575	0.697567	0.0352874	0.379469	0.254145	0.151216	0.171434	1.35	0.323568	0.323568	-0.00544	0.4476
23.4	0.0423956	0.451441	0.101947	0.655335	0.697731	0.0356265	0.379362	0.254008	0.151135	0.17134	1.35	0.320304	0.320304	-0.00544	0.4476
24	0.042807	0.451312	0.10189	0.655091	0.697898	0.0359723	0.379253	0.253868	0.151051	0.171243	1.35	0.31704	0.31704	-0.00544	0.4476
24.6	0.0432265	0.451179	0.101831	0.654841	0.698067	0.0363248	0.379142	0.253725	0.150966	0.171144	1.35	0.313776	0.313776	-0.00544	0.4476
25.2	0.0443795	0.450408	0.101731	0.65387	0.698249	0.0372937	0.378494	0.253572	0.150875	0.170976	1.35	0.301161	0.301161	-0.052196	1.6165
25.8	0.0491064	0.447868	0.101025	0.649917	0.699023	0.0412659	0.376359	0.252922	0.150488	0.169789	1.35	0.269843	0.269843	-0.052196	1.6165
26.4	0.0549416	0.445636	0.100103	0.645842	0.700784	0.0461694	0.374484	0.251442	0.149608	0.168241	1.35	0.238526	0.238526	-0.052196	1.6165
27	0.0622468	0.442861	0.0990432	0.640948	0.703195	0.0523082	0.372153	0.249416	0.148403	0.166459	1.35	0.207208	0.207208	-0.052196	1.6165
27.6	0.0717181	0.439135	0.0977004	0.634536	0.706254	0.0602673	0.369021	0.246845	0.146873	0.164202	1.35	0.17589	0.17589	-0.052196	1.6165
28.2	0.0844622	0.433949	0.095904	0.625757	0.710219	0.0709766	0.364663	0.243513	0.14489	0.161183	1.35	0.144573	0.144573	-0.052196	1.6165
28.8	0.102426	0.42635	0.0933912	0.613133	0.715559	0.0860724	0.358278	0.239026	0.14222	0.15696	1.35	0.113255	0.113255	-0.052196	1.6165
29.4	0.129357	0.414389	0.0896759	0.593741	0.723098	0.108703	0.348226	0.232691	0.138451	0.150716	1.35	0.0819376	0.0819376	-0.052196	1.6165
30	0.173266	0.393606	0.0837706	0.561147	0.734413	0.145602	0.330761	0.223182	0.132793	0.140791	1.35	0.05062	0.05062	-0.052196	1.6165
